,Borrower Company,Claim ATE Reference,Solicitor Reference,Status
,FDM Solicitors,FDM001\P23100002,NBC200743.001,Complete
,FDM Solicitors,FDM001\P23090054,NBC200763.001,Complete
,FDM Solicitors,FDM001\P23090034,NBC200866.001,Complete
,FDM Solicitors,FDM001\P23090047,NBC200920.001,Complete
,FDM Solicitors,FDM001\P23100003,NBC201522.001,Complete
,FDM Solicitors,FDM001\P23090057,NBC201526.001,Complete
,FDM Solicitors,FDM001\P23090058,NBC201614.001,Complete
,FDM Solicitors,FDM001\P23090035,NBC201641.001,Complete
,FDM Solicitors,FDM001\P23090062,NBC201671.001,Complete
,FDM Solicitors,FDM001\P23100040,NBC140077.001,Complete
,FDM Solicitors,FDM001\P23100035,NBC140084.001,Complete
,FDM Solicitors,FDM001\P23100041,NBC140096.001,Complete
,FDM Solicitors,FDM001\P23100055,NBC140315.001,Complete
,FDM Solicitors,FDM001\P23100038,NBC140527.001,Complete
,FDM Solicitors,FDM001\P23100049,NBC140614.001,Complete
,FDM Solicitors,FDM001\P23100036,NBC140704.001,Complete
,FDM Solicitors,FDM001\P23100058,NBC140757.001,Complete
,FDM Solicitors,FDM001\P23100037,NBC140767.001,Complete
,FDM Solicitors,FDM001\P23100014,NBC141091.001,Complete
,FDM Solicitors,FDM001\P23100062,NBC141337.001,Complete
,FDM Solicitors,FDM001\P23100063,NBC141595.001,Complete
,FDM Solicitors,FDM001\P23100024,NBC141663.001,Complete
,FDM Solicitors,FDM001\P23100060,NBC141861.001,Complete
,FDM Solicitors,FDM001\P23100044,NBC142128.001,Complete
,FDM Solicitors,FDM001\P23100043,NBC142152.001,Complete
,FDM Solicitors,FDM001\P23100025,NBC142487.001,Complete
,FDM Solicitors,FDM001\P23100026,NBC142533.001,Complete
,FDM Solicitors,FDM001\P23100033,NBC142563.001,Complete
,FDM Solicitors,FDM001\P23100052,NBC142593.001,Complete
,FDM Solicitors,FDM001\P23100034,NBC142612.001,Complete
,FDM Solicitors,FDM001\P23100056,NBC142691.001,Complete
,FDM Solicitors,FDM001\P23100028,NBC142741.001,Complete
,FDM Solicitors,FDM001\P23100030,NBC142760.001,Complete
,FDM Solicitors,FDM001\P23100029,NBC142773.001,Complete
,FDM Solicitors,FDM001\P23100048,NBC142841.001,Complete
,FDM Solicitors,FDM001\P23100039,NBC142899.001,Complete
,FDM Solicitors,FDM001\P23100032,NBC142903.001,Complete
,FDM Solicitors,FDM001\P23100031,NBC142934.001,Complete
,FDM Solicitors,FDM001\P23100017,NBC143121.001,Complete
,FDM Solicitors,FDM001\P23100046,NBC143166.001,Complete
,FDM Solicitors,FDM001\P23100045,NBC143170.001,Complete
,FDM Solicitors,FDM001\P23100021,NBC143305.001,Complete
,FDM Solicitors,FDM001\P23090013,NBC200760.001,Complete
,FDM Solicitors,FDM001\P23100027,NBC200828.001,Complete
,FDM Solicitors,FDM001\P23100057,NBC200834.001,Complete
,FDM Solicitors,FDM001\P23100064,NBC200871.001,Complete
,FDM Solicitors,FDM001\P23100061,NBC200914.001,Complete
,FDM Solicitors,FDM001\P23100054,NBC200998.001,Complete
,FDM Solicitors,FDM001\P23100051,NBC201007.001,Complete
,FDM Solicitors,FDM001\P23100053,NBC201031.001,Complete
,FDM Solicitors,FDM001\P23100059,NBC201143.001,Complete
,FDM Solicitors,FDM001\P23100050,NBC201152.001,Complete
,FDM Solicitors,FDM001\P23100015,NBC201561.001,Complete
,FDM Solicitors,FDM001\P23100016,NBC201567.001,Complete
,FDM Solicitors,FDM001\P23100020,NBC201599.001,Complete
,FDM Solicitors,FDM001\P23100022,NBC201636.001,Complete
,FDM Solicitors,FDM001\P23100023,NBC201670.001,Complete
,FDM Solicitors,FDM001\P23100018,NBC201690.001,Complete
,FDM Solicitors,FDM001\P23100019,NBC201735.001,Complete
,FDM Solicitors,FDM001\P23100070,NBC140901.001,Complete
,FDM Solicitors,FDM001\P23100065,NBC141698.001,Complete
,FDM Solicitors,FDM001\P23100075,NBC142750.001,Complete
,FDM Solicitors,FDM001\P23100069,NBC142923.001,Complete
,FDM Solicitors,FDM001\P23100067,NBC142984.001,Complete
,FDM Solicitors,FDM001\P23100078,NBC143029.001,Complete
,FDM Solicitors,FDM001\P23100080,NBC143322.001,Complete
,FDM Solicitors,FDM001\P23100077,NBC200809.001,Complete
,FDM Solicitors,FDM001\P23100079,NBC200934.001,Complete
,FDM Solicitors,FDM001\P23100066,NBC201002.001,Complete
,FDM Solicitors,FDM001\P23100076,NBC201058.001,Complete
,FDM Solicitors,FDM001\P23100068,NBC201175.001,Complete
,FDM Solicitors,FDM001\P23100071,NBC201584.001,Complete
,FDM Solicitors,FDM001\P23100074,NBC201603.001,Complete
,FDM Solicitors,FDM001\P23100072,NBC201700.001,Complete
,FDM Solicitors,FDM001\P23100073,NBC201704.001,Complete
,FDM Solicitors,FDM001\P23100081,NBC201750.001,Complete
,FDM Solicitors,FDM001\P23110010,NBC141078.001,Complete
,FDM Solicitors,FDM001\P23110002,NBC141781.001,Complete
,FDM Solicitors,FDM001\P23110003,NBC142123.001,Complete
,FDM Solicitors,FDM001\P23110001,NBC142983.001,Complete
,FDM Solicitors,FDM001\P23110008,NBC143308.001,Complete
,FDM Solicitors,FDM001\P23110004,NBC200753.001,Complete
,FDM Solicitors,FDM001\P23110005,NBC200835.001,Complete
,FDM Solicitors,FDM001\P23110011,NBC200860.001,Complete
,FDM Solicitors,FDM001\P23110006,NBC201595.001,Complete
,FDM Solicitors,FDM001\P23110009,NBC201702.001,Complete
,FDM Solicitors,FDM001\P23110012,NBC200672.001,Complete
,FDM Solicitors,FDM001\P23110036,NBC201586.001,Complete
,FDM Solicitors,FDM001\P23110032,NBC201525.001,Complete
,FDM Solicitors,FDM001\P23110025,NBC201831.001,Complete
,FDM Solicitors,FDM001\P23110033,NBC201591.001,Complete
,FDM Solicitors,FDM001\P23110017,NBC201741.001,Complete
,FDM Solicitors,FDM001\P23110015,NBC201763.001,Complete
,FDM Solicitors,FDM001\P23110016,NBC201770.001,Complete
,FDM Solicitors,FDM001\P23110039,NBC201772.001,Complete
,FDM Solicitors,FDM001\P23110024,NBC201860.001,Complete
,FDM Solicitors,FDM001\P23110055,NBC140710.001,Complete
,FDM Solicitors,FDM001\P23110028,NBC143009.001,Complete
,FDM Solicitors,FDM001\P23110031,NBC143144.001,Complete
,FDM Solicitors,FDM001\P23110027,NBC200919.001,Complete
,FDM Solicitors,FDM001\P23110049,NBC200930.001,Complete
,FDM Solicitors,FDM001\P23110059,NBC140171.001,Complete
,FDM Solicitors,FDM001\P23110046,NBC141067.001,Complete
,FDM Solicitors,FDM001\P23110040,NBC141722.001,Complete
,FDM Solicitors,FDM001\P23110021,NBC142143.001,Complete
,FDM Solicitors,FDM001\P23110042,NBC142466.001,Complete
,FDM Solicitors,FDM001\P23110043,NBC142530.001,Complete
,FDM Solicitors,FDM001\P24010010,NBC142625.001,Complete
,FDM Solicitors,FDM001\P23110057,NBC142766.001,Complete
,FDM Solicitors,FDM001\P23110029,NBC142838.001,Complete
,FDM Solicitors,FDM001\P23110050,NBC142980.001,Complete
,FDM Solicitors,FDM001\P23110051,NBC142985.001,Complete
,FDM Solicitors,FDM001\P23110053,NBC143032.001,Complete
,FDM Solicitors,FDM001\P24010013,NBC143085.001,Complete
,FDM Solicitors,FDM001\P23110023,NBC143087.001,Complete
,FDM Solicitors,FDM001\P23110044,NBC143093.001,Complete
,FDM Solicitors,FDM001\P23110047,NBC143141.001,Complete
,FDM Solicitors,FDM001\P24010018,NBC143290.001,Complete
,FDM Solicitors,FDM001\P24010003,NBC143313.001,Complete
,FDM Solicitors,FDM001\P23110020,NBC143326.001,Complete
,FDM Solicitors,FDM001\P24010017,NBC143352.001,Complete
,FDM Solicitors,FDM001\P23110048,NBC200693.001,Complete
,FDM Solicitors,FDM001\P23110052,NBC200767.001,Complete
,FDM Solicitors,FDM001\P23110045,NBC200945.001,Complete
,FDM Solicitors,FDM001\P23110060,NBC200966.001,Complete
,FDM Solicitors,FDM001\P23110026,NBC200970.001,Complete
